Year-month,Number_hotel_rooms,rate
201503,73481,84
201504,73481,85
201505,73741,83
201506,73807,83
201507,73807,85
201508,73999,91
201509,73998,83
201510,73636,90
201511,73636,91
201512,73846,89
201601,73930,86
201602,73970,78
201603,74002,84
201604,74002,88
201605,74124,82
201606,74155,84
201607,74083,88
201608,74083,90
201609,74364,87
201610,74399,91
201611,74578,94
201612,74868,92
201701,75267,87
201702,75596,87
201703,75877,90
201704,77217,89
201705,77555,84
201706,77553,87
201707,77872,90
201708,77920,91
201709,78056,87
201710,78278,92
201711,78881,95
201712,78935,92
201801,79044,92
201802,79191,90
201803,79231,93
201804,79403,92
201805,79321,88
201806,79944,90
201807,79929,91
201808,79889,94
201809,80596,86
201810,81120,92
201811,81149,95
201812,81465,94
